pair_id,from_node,to_node,reachable,reason,same_path,short_total_length_km,short_total_weight_km,short_edges,short_hotspot_edges,short_hotspot_share_pct,short_avg_hotspot_rate,short_max_hotspot_rate,avoid_total_length_km,avoid_total_weight_km,avoid_edges,avoid_hotspot_edges,avoid_hotspot_share_pct,avoid_avg_hotspot_rate,avoid_max_hotspot_rate,extra_distance_km,hotspot_edges_reduction,avg_hotspot_rate_reduction,max_hotspot_rate_reduction,explainability_short
56,A407,A104,1,,1.0,5.585,7.734565,4.0,1.0,25.0,0.130435,0.521739,5.585,7.734565,4.0,1.0,25.0,0.130435,0.521739,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
57,A407,A1006/A112 triangle,1,,1.0,7.185,9.334565,5.0,1.0,20.0,0.104348,0.521739,7.185,9.334565,5.0,1.0,20.0,0.104348,0.521739,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
58,A407,A107 Mare St,1,,1.0,5.885,8.034565,5.0,1.0,20.0,0.104348,0.521739,5.885,8.034565,5.0,1.0,20.0,0.104348,0.521739,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
59,A407,A113,1,,1.0,7.485,9.634565,5.0,1.0,20.0,0.104348,0.521739,7.485,9.634565,5.0,1.0,20.0,0.104348,0.521739,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
60,A407,A1201,1,,0.0,6.385,8.534565,5.0,1.0,20.0,0.104348,0.521739,6.765217,6.765217,6.0,0.0,0.0,0.0,0.0,0.380217,1.0,0.104348,0.521739,  - A112 -> A104 | hotspot_rate=0.5217 | penalty_km=2.1496 | len_km=2.0600 |  | Edges added in the avoid route (top changes): |   + A503 -> B540 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.8000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
61,A407,Evering Rd,1,,1.0,6.885,9.034565,5.0,1.0,20.0,0.104348,0.521739,6.885,9.034565,5.0,1.0,20.0,0.104348,0.521739,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
62,A407,A104 Islington Green,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
63,A407,A1201 St Paul's Road,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
64,A407,A104 roundabout,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
65,A407,A10(T),1,,1.0,6.1,6.1,3.0,0.0,0.0,0.0,0.0,6.1,6.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
66,A407,A1080,1,,1.0,3.665217,3.665217,3.0,0.0,0.0,0.0,0.0,3.665217,3.665217,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
67,A407,A105    London  Road,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
68,A407,Cecil   Road,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
69,A407,A1055,1,,0.0,5.6,7.165217,4.0,1.0,25.0,0.130435,0.521739,5.865217,5.865217,4.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
70,A407,M25,1,,0.0,6.06,7.625217,5.0,1.0,20.0,0.104348,0.521739,6.325217,6.325217,5.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
71,A407,A1055   Mollison Ave,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
72,A407,A1010  Hertford Road High Street,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
73,A407,A1055 Conduit Lane,1,,0.0,4.7,6.265217,4.0,1.0,25.0,0.130435,0.521739,4.965217,4.965217,4.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
