from_node,to_node,same_path,shortest_total_length_km,shortest_total_weight_km,avoid_total_length_km,avoid_total_weight_km,extra_distance_km,hot_edges_shortest,hot_edges_avoid,avg_hotspot_shortest,avg_hotspot_avoid,max_hotspot_shortest,max_hotspot_avoid,removed_edges_count,added_edges_count,error
A407,A105    London  Road,True,14.985159577931212,14.985159577931212,14.985159577931212,14.985159577931212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1055,True,28.35509867890212,28.35509867890212,28.35509867890212,28.35509867890212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1055   Mollison Ave,True,29.850406928107475,29.850406928107475,29.850406928107475,29.850406928107475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1055 Conduit Lane,True,26.71691161360246,26.71691161360246,26.71691161360246,26.71691161360246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A106,True,17.23251496986986,17.23251496986986,17.23251496986986,17.23251496986986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A106 Ruckholt Rd,True,25.702731126913296,25.702731126913296,25.702731126913296,25.702731126913296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A107,True,19.50333495114096,19.50333495114096,19.50333495114096,19.50333495114096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A107 Lower Clapton Rd,True,19.018464795724785,19.018464795724785,19.018464795724785,19.018464795724785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A107 Mare St,True,18.048162156297803,18.048162156297803,18.048162156297803,18.048162156297803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A109,True,9.506829995736439,9.506829995736439,9.506829995736439,9.506829995736439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A11,True,22.958818020153124,22.958818020153124,22.958818020153124,22.958818020153124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A11 Great Eastern Rd,True,24.167525117444583,24.167525117444583,24.167525117444583,24.167525117444583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A11 roundabout,True,39.28773810334907,39.28773810334907,39.28773810334907,39.28773810334907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A110,True,16.392750441287625,16.392750441287625,16.392750441287625,16.392750441287625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A110 Cecil Rd,True,15.32444637251908,15.32444637251908,15.32444637251908,15.32444637251908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A111,True,12.952499302339415,12.952499302339415,12.952499302339415,12.952499302339415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1112,True,41.77287605201024,41.77287605201024,41.77287605201024,41.77287605201024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A112,True,29.930865405954503,29.930865405954503,29.930865405954503,29.930865405954503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A114,True,30.22711105605975,30.22711105605975,30.22711105605975,30.22711105605975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A114 Whipps Cross Rd roundabout,True,29.404584118433945,29.404584118433945,29.404584118433945,29.404584118433945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A114 Whipps Cross Road roundabout,True,29.404584118433945,29.404584118433945,29.404584118433945,29.404584118433945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A116,True,32.08583961998209,32.08583961998209,32.08583961998209,32.08583961998209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A117,True,35.36728663830501,35.36728663830501,35.36728663830501,35.36728663830501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A118,True,35.57642464629749,35.57642464629749,35.57642464629749,35.57642464629749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1199,True,14.552725204819728,14.552725204819728,14.552725204819728,14.552725204819728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A12,True,22.89852867170769,22.89852867170769,22.89852867170769,22.89852867170769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A12 roundabout,True,28.190781479567075,28.190781479567075,28.190781479567075,28.190781479567075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A12(T),True,34.050063979342816,34.050063979342816,34.050063979342816,34.050063979342816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A12/A1400,True,36.34949976465483,36.34949976465483,36.34949976465483,36.34949976465483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1200,True,14.308301645365658,14.308301645365658,14.308301645365658,14.308301645365658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1201,True,19.34250917979784,19.34250917979784,19.34250917979784,19.34250917979784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1202,True,14.739952373686002,14.739952373686002,14.739952373686002,14.739952373686002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1202/A13 mid-junction,True,14.898514335850967,14.898514335850967,14.898514335850967,14.898514335850967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1203,True,18.28179039125558,18.28179039125558,18.28179039125558,18.28179039125558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1205,True,21.597653405719125,21.597653405719125,21.597653405719125,21.597653405719125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1206,True,21.446304788761655,21.446304788761655,21.446304788761655,21.446304788761655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1207,True,18.763909292463378,18.763909292463378,18.763909292463378,18.763909292463378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1208 Hackney Road,True,15.910425775584953,15.910425775584953,15.910425775584953,15.910425775584953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1209,True,14.202874839176877,14.202874839176877,14.202874839176877,14.202874839176877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1211,True,12.5983309076885,12.5983309076885,12.5983309076885,12.5983309076885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A123,True,33.8164161547016,33.8164161547016,33.8164161547016,33.8164161547016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A124,True,33.899454272536346,33.899454272536346,33.899454272536346,33.899454272536346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A124 London Rd,True,34.32621342958239,34.32621342958239,34.32621342958239,34.32621342958239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1240,True,39.075314848854845,39.075314848854845,39.075314848854845,39.075314848854845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A125,True,42.5031662977118,42.5031662977118,42.5031662977118,42.5031662977118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1251,True,41.73345575820094,41.73345575820094,41.73345575820094,41.73345575820094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A126,True,19.770197649968193,19.770197649968193,19.770197649968193,19.770197649968193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1261,True,21.486978980141195,21.486978980141195,21.486978980141195,21.486978980141195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1263,True,22.70768332507365,22.70768332507365,22.70768332507365,22.70768332507365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A13,True,23.459796746823823,23.459796746823823,23.459796746823823,23.459796746823823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A13(T)/A123,True,36.534380648108595,36.534380648108595,36.534380648108595,36.534380648108595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A13/A1261,True,20.78006067717757,20.78006067717757,20.78006067717757,20.78006067717757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1306,True,42.19495415876562,42.19495415876562,42.19495415876562,42.19495415876562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1400/A123 Rndbt - Cranbrook Road,True,35.87456963258217,35.87456963258217,35.87456963258217,35.87456963258217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A167,True,36.24835956610326,36.24835956610326,36.24835956610326,36.24835956610326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A2,True,15.512494138955576,15.512494138955576,15.512494138955576,15.512494138955576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A2 Amersham Rd,True,19.649422201712145,19.649422201712145,19.649422201712145,19.649422201712145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
