src,dst,length_km,n_rows,hotspot_rate,weight_km,penalty_km
A302,A201/A3203,0.4,180,0.0,0.4,0.0
A302,A3202,0.2,288,0.0,0.2,0.0
A302,A3214,0.2,288,0.0,0.2,0.0
A302,Northumberland Ave,0.8,720,0.0,0.8,0.0
A302 Garden Row,A3203,0.2,252,0.0,0.2,0.0
A302 StGeorges Rd,A201 London Rd,0.2,108,0.0,0.2,0.0
A3031,A3205,0.1,288,0.0,0.1,0.0
A3036,A203,0.2,288,0.0,0.2,0.0
A3036,A3205,1.3,288,0.0,1.3,0.0
A304,A308,0.3,432,0.0,0.3,0.0
A3044,A3044,1.2,576,0.0,1.2,0.0
A3044,M4,0.6,288,0.0,0.6,0.0
A305,A305,0.2428571428571428,252,0.0,0.2428571428571428,0.0
A305,A316,0.85,432,0.0,0.85,0.0
A305,B306,2.3,504,0.0,2.3,0.0
A305 Paradise Rd,A205,1.7,360,0.0,1.7,0.0
A305 Paradise Rd,A307,0.3,216,0.0,0.3,0.0
A306,A219,0.7,144,0.0,0.7,0.0
A3063,LA Boundary,0.8,432,0.0,0.8,0.0
A307,A2043,0.3,288,0.0,0.3,0.0
A307,A307,0.2,180,0.0,0.2,0.0
A307,A316,1.8,216,0.0,1.8,0.0
A307 Kingsgate Rd,LA Boundary,2.0,504,0.0,2.0,0.0
A307 Richmond Rd/Eden St,A307 Fairfield North/London Rd,0.5,252,0.0,0.5,0.0
A308,A3008,0.3,216,0.0,0.3,0.0
A308,A311,0.3333333333333333,216,0.0,0.3333333333333333,0.0
A308,A313,2.2,432,0.0,2.2,0.0
A308,A315/A3216,0.9,504,0.0,0.9,0.0
A308 Kings Rd,A3220 Edith Grove,0.3,144,0.0,0.3,0.0
A308 Sopwith rd,A307 Kingsagte Rd,0.1,108,0.0,0.1,0.0
A309,A305,0.7,288,0.0,0.7,0.0
A310,A3004,0.6538461538461539,936,0.0,0.6538461538461539,0.0
A311,A310,0.7,288,0.0,0.7,0.0
A312,A244,0.5,216,0.0,0.5,0.0
A312,A30,0.6571428571428571,504,0.0,0.6571428571428571,0.0
A312,A311,0.9,216,0.0,0.9,0.0
A312,A312,4.046153846153846,936,0.0,4.046153846153846,0.0
A312,A313,0.9,216,0.0,0.9,0.0
A312,A4005,0.1,288,0.0,0.1,0.0
A312,A4020,4.7,792,0.0,4.7,0.0
A312,A404,3.5,792,0.0,3.5,0.0
A312,A4127,2.3,1584,0.0,2.3,0.0
A312,B458,0.7,360,0.0,0.7,0.0
A312,LA Boundary,1.088888888888889,648,0.0,1.088888888888889,0.0
A313,A305,2.1,288,0.0,2.1,0.0
A313,A309,1.4,288,0.0,1.4,0.0
A313,A310,1.6,216,0.0,1.6,0.0
A313,LA Boundary,0.9,432,0.0,0.9,0.0
A314,A312/A305,1.0,648,0.0,1.0,0.0
A314,A315,1.0,216,0.0,1.0,0.0
