region,from_node,to_node,same_path,short_len_km,short_weight_km,short_penalty_km,short_hot_edges,short_hot_share_pct,short_avg_hotspot,short_max_hotspot,avoid_len_km,avoid_weight_km,avoid_penalty_km,avoid_hot_edges,avoid_hot_share_pct,avoid_avg_hotspot,avoid_max_hotspot,delta_len_km,delta_weight_km,delta_hot_edges,explain_reason,explain_removed_edges,explain_removed_risky_edges,explain_removed_risky_top5
London,A407,A200,False,4.1000000000000005,5.665217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,4.3652173913043475,4.3652173913043475,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A200 Creek Rd/Romney Rd,False,10.5,12.06521739130435,1.5652173913043481,1,16.666666666666664,0.08695652173913043,0.5217391304347826,10.765217391304349,10.765217391304349,0.0,0,0.0,0.0,0.0,0.26521739130434874,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A2001,False,6.4,7.965217391304348,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,6.665217391304347,6.665217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A201,False,4.2,6.008695652173913,1.8086956521739133,2,50.0,0.28260869565217395,0.6086956521739131,4.465217391304348,4.708695652173913,0.24347826086956526,1,25.0,0.15217391304347827,0.6086956521739131,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A201 Blackfriars Bridge,False,4.5,6.065217391304349,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,4.765217391304348,4.765217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A201/A3202,False,9.8,11.365217391304348,1.5652173913043481,1,14.285714285714285,0.07453416149068323,0.5217391304347826,10.065217391304348,10.065217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A201/A3203,False,9.9,11.465217391304348,1.5652173913043481,1,14.285714285714285,0.07453416149068323,0.5217391304347826,10.165217391304347,10.165217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A2015,False,4.8,6.365217391304348,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,5.065217391304348,5.065217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A202,False,4.7,6.265217391304348,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,4.965217391304348,4.965217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.2999999999999998,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A202 Clayton St,False,9.8,11.365217391304348,1.5652173913043481,1,12.5,0.06521739130434782,0.5217391304347826,10.065217391304348,10.065217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
