step,src,dst,length_km,weight_km,hotspot_rate,is_hotspot,penalty_km,pair_id,route
4,LA Boundary,A1055,1.6,1.6,0.0,0,0.0,69,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,69,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,69,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,69,avoid_hotspots
4,LA Boundary,A1055,1.6,1.6,0.0,0,0.0,69,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,70,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,70,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,70,shortest_distance
4,LA Boundary,A1055,1.6,1.6,0.0,0,0.0,70,shortest_distance
5,A1055,M25,0.4599999999999999,0.4599999999999999,0.0,0,0.0,70,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,70,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,70,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,70,avoid_hotspots
4,LA Boundary,A1055,1.6,1.6,0.0,0,0.0,70,avoid_hotspots
5,A1055,M25,0.4599999999999999,0.4599999999999999,0.0,0,0.0,70,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,73,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,73,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,73,shortest_distance
4,LA Boundary,A1055 Conduit Lane,0.7,0.7,0.0,0,0.0,73,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,73,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,73,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,73,avoid_hotspots
4,LA Boundary,A1055 Conduit Lane,0.7,0.7,0.0,0,0.0,73,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,74,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,74,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,74,shortest_distance
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,74,shortest_distance
5,A10,A109,0.5,0.5,0.0,0,0.0,74,shortest_distance
6,A109,A110,2.1,2.1,0.0,0,0.0,74,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,74,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,74,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,74,avoid_hotspots
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,74,avoid_hotspots
