from_node,to_node,route,step_index,src,dst,length_km,hotspot_rate,weight_km,penalty_km,src_lon,src_lat,dst_lon,dst_lat
A407,14,shortest_distance,20,A4(T),4,1.680425890841284,0.0,1.680425890841284,0.0,-0.41796882625,51.4890052825,-0.44126725425,51.49324189916666
A407,14,shortest_distance,21,4,A3044,2.5744466986801218,0.0,2.5744466986801218,0.0,-0.44126725425,51.49324189916666,-0.477552709,51.48818177333333
A407,14,shortest_distance,22,A3044,14,2.039362229728284,0.0,2.039362229728284,0.0,-0.477552709,51.48818177333333,-0.503325999,51.47930655
A407,14,avoid_hotspots,1,A407,A41(T),1.2526638676309407,0.0,1.2526638676309407,0.0,-0.2144295742857143,51.56499002392857,-0.197086554,51.56172272999999
A407,14,avoid_hotspots,2,A41(T),Adelaide Rd roundabout,1.6877774339313854,0.0,1.6877774339313854,0.0,-0.197086554,51.56172272999999,-0.18198011800000002,51.54979923
A407,14,avoid_hotspots,3,Adelaide Rd roundabout,A41,0.8314831585239466,0.0,0.8314831585239466,0.0,-0.18198011800000002,51.54979923,-0.17898772504,51.5425567796
A407,14,avoid_hotspots,4,A41,B414,1.3238958704953925,0.0,1.3238958704953925,0.0,-0.17898772504,51.5425567796,-0.184883062,51.53122946
A407,14,avoid_hotspots,5,B414,A4205,1.484099239029587,0.0,1.484099239029587,0.0,-0.184883062,51.53122946,-0.179632358,51.51828862
A407,14,avoid_hotspots,6,A4205,A4206,1.5145174138509294,0.0,1.5145174138509294,0.0,-0.179632358,51.51828862,-0.195849126,51.50914184
A407,14,avoid_hotspots,7,A4206,A3220 Addison Crescent,1.486555208911798,0.0,1.486555208911798,0.0,-0.195849126,51.50914184,-0.207813684,51.49803949
A407,14,avoid_hotspots,8,A3220 Addison Crescent,A219/A4,0.6940088763577961,0.0,0.6940088763577961,0.0,-0.207813684,51.49803949,-0.215210811,51.493826821999996
A407,14,avoid_hotspots,9,A219/A4,A315 Studland St,0.9892833339295573,0.0,0.9892833339295573,0.0,-0.215210811,51.493826821999996,-0.22937439799999998,51.49264764
A407,14,avoid_hotspots,10,A315 Studland St,A402 Goldhawk Rd,1.0171329534026714,0.0,1.0171329534026714,0.0,-0.22937439799999998,51.49264764,-0.244008056,51.4934611
A407,14,avoid_hotspots,11,A402 Goldhawk Rd,A3003,1.9847240518911544,0.0,1.9847240518911544,0.0,-0.244008056,51.4934611,-0.2567152768,51.477461918
A407,14,avoid_hotspots,12,A3003,A3000,1.9729760534366785,0.0,1.9729760534366785,0.0,-0.2567152768,51.477461918,-0.274130443,51.49150530375
A407,14,avoid_hotspots,13,A3000,M4 jn2,0.8348431508344388,0.0,0.8348431508344388,0.0,-0.274130443,51.49150530375,-0.28605675174999995,51.49261411916667
A407,14,avoid_hotspots,14,M4 jn2,A3002,1.6171364307105809,0.0,1.6171364307105809,0.0,-0.28605675174999995,51.49261411916667,-0.30928513494444443,51.494148314444445
A407,14,avoid_hotspots,15,A3002,A4001,2.227277855027226,0.0,2.227277855027226,0.0,-0.30928513494444443,51.494148314444445,-0.329854007,51.5095521
A407,14,avoid_hotspots,16,A4001,3,2.0898274934005503,0.0,2.0898274934005503,0.0,-0.329854007,51.5095521,-0.349111481,51.4950771
