route,edges,total_length_km,total_weight_km,hotspot_edges,hotspot_edge_share,avg_hotspot_rate,max_hotspot_rate,from_node,to_node,same_path
avoid_hotspots,5,5.165217391304347,5.165217391304347,0,0.0,0.0,0.0,A407,A2043,False
shortest_distance,7,6.9,8.465217391304348,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A205,False
avoid_hotspots,7,7.165217391304347,7.165217391304347,0,0.0,0.0,0.0,A407,A205,False
shortest_distance,7,5.1000000000000005,6.908695652173913,2,0.2857142857142857,0.1614906832298137,0.6086956521739131,A407,A205 The Avenue,False
avoid_hotspots,7,5.365217391304348,5.608695652173913,1,0.14285714285714285,0.08695652173913045,0.6086956521739131,A407,A205 The Avenue,False
shortest_distance,5,10.0,11.56521739130435,1,0.2,0.10434782608695652,0.5217391304347826,A407,A206,False
avoid_hotspots,5,10.265217391304349,10.265217391304349,0,0.0,0.0,0.0,A407,A206,False
shortest_distance,8,8.7,10.265217391304349,1,0.125,0.06521739130434782,0.5217391304347826,A407,A208,False
avoid_hotspots,8,8.965217391304348,8.965217391304348,0,0.0,0.0,0.0,A407,A208,False
shortest_distance,8,7.1,8.665217391304349,1,0.125,0.06521739130434782,0.5217391304347826,A407,A21,False
avoid_hotspots,8,7.3652173913043475,7.3652173913043475,0,0.0,0.0,0.0,A407,A21,False
shortest_distance,5,7.1,8.665217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A210,False
avoid_hotspots,5,7.365217391304348,7.365217391304348,0,0.0,0.0,0.0,A407,A210,False
shortest_distance,5,6.4,7.965217391304348,1,0.2,0.10434782608695652,0.5217391304347826,A407,A211,False
avoid_hotspots,5,6.665217391304348,6.665217391304348,0,0.0,0.0,0.0,A407,A211,False
shortest_distance,5,6.6,8.165217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A212,False
avoid_hotspots,5,6.8652173913043475,6.8652173913043475,0,0.0,0.0,0.0,A407,A212,False
shortest_distance,5,5.0,6.565217391304348,1,0.2,0.10434782608695652,0.5217391304347826,A407,A213,False
avoid_hotspots,5,5.265217391304348,5.265217391304348,0,0.0,0.0,0.0,A407,A213,False
shortest_distance,7,8.2,9.765217391304349,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A213 Penge Rd,False
avoid_hotspots,7,8.465217391304348,8.465217391304348,0,0.0,0.0,0.0,A407,A213 Penge Rd,False
shortest_distance,7,8.1,9.665217391304349,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A213 Sunny Bank,False
avoid_hotspots,7,8.365217391304348,8.365217391304348,0,0.0,0.0,0.0,A407,A213 Sunny Bank,False
shortest_distance,6,8.6,10.165217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A214,False
avoid_hotspots,6,8.865217391304348,8.865217391304348,0,0.0,0.0,0.0,A407,A214,False
shortest_distance,6,7.8,9.365217391304348,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A215,False
avoid_hotspots,6,8.065217391304348,8.065217391304348,0,0.0,0.0,0.0,A407,A215,False
shortest_distance,6,6.8,8.365217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A216,False
avoid_hotspots,6,7.065217391304348,7.065217391304348,0,0.0,0.0,0.0,A407,A216,False
shortest_distance,8,8.899999999999999,10.465217391304348,1,0.125,0.06521739130434782,0.5217391304347826,A407,A217,False
avoid_hotspots,8,9.165217391304347,9.165217391304347,0,0.0,0.0,0.0,A407,A217,False
shortest_distance,8,7.214285714285714,8.779503105590063,1,0.125,0.06521739130434782,0.5217391304347826,A407,A218,False
avoid_hotspots,8,7.479503105590062,7.479503105590062,0,0.0,0.0,0.0,A407,A218,False
shortest_distance,7,7.399999999999999,8.965217391304346,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A219,False
avoid_hotspots,7,7.665217391304347,7.665217391304347,0,0.0,0.0,0.0,A407,A219,False
shortest_distance,7,8.628571428571428,10.193788819875776,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A2205,False
avoid_hotspots,7,8.893788819875777,8.893788819875777,0,0.0,0.0,0.0,A407,A2205,False
shortest_distance,7,8.228571428571428,9.793788819875775,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A2206,False
avoid_hotspots,7,8.493788819875776,8.493788819875776,0,0.0,0.0,0.0,A407,A2206,False
shortest_distance,4,6.6000000000000005,8.165217391304349,1,0.25,0.13043478260869565,0.5217391304347826,A407,A221,False
avoid_hotspots,4,6.865217391304348,6.865217391304348,0,0.0,0.0,0.0,A407,A221,False
shortest_distance,7,8.628571428571428,10.193788819875776,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A2211,False
avoid_hotspots,7,8.893788819875777,8.893788819875777,0,0.0,0.0,0.0,A407,A2211,False
shortest_distance,5,6.5,8.065217391304348,1,0.2,0.10434782608695652,0.5217391304347826,A407,A2212,False
avoid_hotspots,5,6.765217391304348,6.765217391304348,0,0.0,0.0,0.0,A407,A2212,False
shortest_distance,8,7.3,8.865217391304348,1,0.125,0.06521739130434782,0.5217391304347826,A407,A2213,False
avoid_hotspots,8,7.565217391304348,7.565217391304348,0,0.0,0.0,0.0,A407,A2213,False
shortest_distance,4,4.2,5.765217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A2214,False
avoid_hotspots,4,4.465217391304348,4.465217391304348,0,0.0,0.0,0.0,A407,A2214,False
shortest_distance,4,4.8,6.3652173913043475,1,0.25,0.13043478260869565,0.5217391304347826,A407,A2216,False
avoid_hotspots,4,5.065217391304348,5.065217391304348,0,0.0,0.0,0.0,A407,A2216,False
shortest_distance,4,4.5,6.065217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A2217,False
avoid_hotspots,4,4.765217391304348,4.765217391304348,0,0.0,0.0,0.0,A407,A2217,False
shortest_distance,6,5.0,6.565217391304348,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A2218,False
avoid_hotspots,6,5.265217391304348,5.265217391304348,0,0.0,0.0,0.0,A407,A2218,False
shortest_distance,4,6.0,7.565217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A222,False
avoid_hotspots,4,6.265217391304348,6.265217391304348,0,0.0,0.0,0.0,A407,A222,False
shortest_distance,6,7.6,9.165217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A222 Cherry Orchard Rd,False
avoid_hotspots,6,7.8652173913043475,7.8652173913043475,0,0.0,0.0,0.0,A407,A222 Cherry Orchard Rd,False
shortest_distance,4,6.3,7.8652173913043475,1,0.25,0.13043478260869565,0.5217391304347826,A407,A223,False
avoid_hotspots,4,6.565217391304348,6.565217391304348,0,0.0,0.0,0.0,A407,A223,False
shortest_distance,6,7.6000000000000005,9.165217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A224,False
avoid_hotspots,6,7.865217391304348,7.865217391304348,0,0.0,0.0,0.0,A407,A224,False
shortest_distance,5,9.2,10.765217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A23,False
avoid_hotspots,5,9.465217391304348,9.465217391304348,0,0.0,0.0,0.0,A407,A23,False
shortest_distance,7,6.300000000000001,8.108695652173912,2,0.2857142857142857,0.1614906832298137,0.6086956521739131,A407,A23/A204,False
avoid_hotspots,7,6.565217391304349,6.808695652173913,1,0.14285714285714285,0.08695652173913045,0.6086956521739131,A407,A23/A204,False
shortest_distance,4,7.1,8.665217391304347,1,0.25,0.13043478260869565,0.5217391304347826,A407,A232,False
avoid_hotspots,4,7.365217391304348,7.365217391304348,0,0.0,0.0,0.0,A407,A232,False
shortest_distance,7,9.599999999999998,11.165217391304346,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A232 Epsom Rd,False
avoid_hotspots,7,9.865217391304347,9.865217391304347,0,0.0,0.0,0.0,A407,A232 Epsom Rd,False
shortest_distance,5,9.7,11.265217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A232 High St,False
avoid_hotspots,5,9.965217391304348,9.965217391304348,0,0.0,0.0,0.0,A407,A232 High St,False
shortest_distance,6,9.399999999999999,10.965217391304346,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A232 Stafford Rd,False
avoid_hotspots,6,9.665217391304347,9.665217391304347,0,0.0,0.0,0.0,A407,A232 Stafford Rd,False
shortest_distance,4,4.3,5.8652173913043475,1,0.25,0.13043478260869565,0.5217391304347826,A407,A234,False
avoid_hotspots,4,4.565217391304348,4.565217391304348,0,0.0,0.0,0.0,A407,A234,False
shortest_distance,5,6.1,7.665217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A236,False
avoid_hotspots,5,6.3652173913043475,6.3652173913043475,0,0.0,0.0,0.0,A407,A236,False
shortest_distance,6,5.1,6.665217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A238,False
avoid_hotspots,6,5.3652173913043475,5.3652173913043475,0,0.0,0.0,0.0,A407,A238,False
shortest_distance,4,5.5,7.065217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A239,False
avoid_hotspots,4,5.765217391304348,5.765217391304348,0,0.0,0.0,0.0,A407,A239,False
shortest_distance,4,4.64,6.205217391304347,1,0.25,0.13043478260869565,0.5217391304347826,A407,A239 Central Rd,False
avoid_hotspots,4,4.9052173913043475,4.9052173913043475,0,0.0,0.0,0.0,A407,A239 Central Rd,False
shortest_distance,7,5.5,7.065217391304348,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A24,False
avoid_hotspots,7,5.765217391304348,5.765217391304348,0,0.0,0.0,0.0,A407,A24,False
shortest_distance,5,7.6,9.165217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A244,False
avoid_hotspots,5,7.865217391304348,7.865217391304348,0,0.0,0.0,0.0,A407,A244,False
shortest_distance,6,5.499999999999999,7.065217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A298,False
avoid_hotspots,6,5.765217391304347,5.765217391304347,0,0.0,0.0,0.0,A407,A298,False
shortest_distance,6,4.6000000000000005,6.408695652173913,2,0.3333333333333333,0.1884057971014493,0.6086956521739131,A407,A3,False
avoid_hotspots,6,4.865217391304348,5.108695652173913,1,0.16666666666666666,0.10144927536231885,0.6086956521739131,A407,A3,False
shortest_distance,4,5.142857142857142,6.70807453416149,1,0.25,0.13043478260869565,0.5217391304347826,A407,A3(T),False
avoid_hotspots,4,5.408074534161491,5.408074534161491,0,0.0,0.0,0.0,A407,A3(T),False
shortest_distance,5,7.757142857142857,9.322360248447204,1,0.2,0.10434782608695652,0.5217391304347826,A407,A30,False
avoid_hotspots,5,8.022360248447205,8.022360248447205,0,0.0,0.0,0.0,A407,A30,False
shortest_distance,6,8.011111111111111,9.576328502415459,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A30/A312/A4,False
avoid_hotspots,6,8.276328502415458,8.276328502415458,0,0.0,0.0,0.0,A407,A30/A312/A4,False
shortest_distance,5,4.4,6.208695652173913,2,0.4,0.22608695652173916,0.6086956521739131,A407,A300,False
avoid_hotspots,5,4.665217391304348,4.908695652173913,1,0.2,0.12173913043478261,0.6086956521739131,A407,A300,False
